Date,Curency,Action,Ticker,Price,Qty,Note,,
2022-07-29,USD,SLD,KOF,60.4,-5,exit position,,
2022-08-12,USD,SLD,O,74.46,-8,exit position,,
2022-08-12,USD,SLD,SRC,44.563,-10,exit position,,
2022-08-30,EUR,BOT,DIC,10.26,30,Increase position,,
2022-08-30,EUR,BOT,VNA,27.11,10,Increase position,,
2022-10-19,USD,BOT,GMRE,7.84,200,New position,,
2022-10-12,USD,BOT,GRPN,7.39,50,New position,,
2022-10-19,USD,BOT,GRPN,6.97,20,Increase position,,
2022-10-19,USD,BOT,BTG,2.915,200,Increase position,,
2022-10-17,USD,SLD,STOR,31.345,-119,STOR has been acquired at 32.25 settled in Q1 23,,
2022-10-24,EUR,BOT,VNA,21.12,10,Increase position,,
2022-10-24,EUR,BOT,DIC,7.09,28,Increase position,,
2022-10-24,USD,BOT,GRPN,6.51,15,Increase position,,
2022-11-11,USD,SLD,ENB,41.885,-8,Decrease position,,
2022-11-11,USD,SLD,FSM,3.47,-1115,exit position,,
2022-11-11,USD,SLD,WES,28.21,-11,Decrease position,,
2022-12-02,USD,SLD,AGI,10.025,-162,exit position,,
2022-12-02,USD,BOT,GRPN,8.43,12,Increase position,,
2022-12-02,USD,SLD,WES,28.245,-15,Decrease position,,
2022-12-06,USD,BOT,BTG,3.32,151,Increase position,,
2022-12-06,USD,BOT,GRPN,7.66,13,Increase position,,
2022-12-12,USD,BOT,GRPN,6.958,14,Increase position,,
2022-12-23,EUR,BOT,VNA,21.73,9,Increase position,,
2022-12-29,EUR,BOT,VNA,21.92,9,Increase position,,
2022-12-29,USD,SLD,ENB,39.285,-33,exit position - tax,,
2022-12-29,USD,SLD,WES,26.18,-30,exit position - tax,,
2023-02-13,CAD,SLD,BEI.UN,57.72,-11,exit position,,
2023-02-13,USD,BOT,GRPN,7.13,14,Increase position,,
2023-02-13,USD,BOT,KGC,4.175,100,Increase position,,
2023-02-15,USD,BOT,KGC,3.92,100,Increase position,,
2023-02-21,USD,BOT,KGC,3.82,129,Increase position,,
2023-02-21,USD,BOT,AEM,46.05,21,New position,,
2023-02-27,USD,BOT,AEM,45.59,5,Increase position,,
2023-02-21,USD,BOT,BTG,3.32,151,Increase position,,
2023-02-27,EUR,BOT,VNA,23.97,8,Increase position,,
2023-03-13,EUR,BOT,VNA,20.56,10,Increase position,,
2023-03-20,EUR,BOT,VNA,19.06,10,Increase position,,
2023-03-24,EUR,BOT,VNA,17.065,40,Increase position,,
2023-03-29,EUR,BOT,VNA,15.565,26,Increase position,,
2023-04-04,USD,SLD,AEM,55.32,-10,Decrease position,,
2023-04-13,USD,SLD,AEM,58.71,-16,exit position,,
2023-03-20,USD,BOT,EPR,36.15,5,Increase position,,
2023-03-10,USD,BOT,GRPN,5.67,35,Increase position,,
2023-03-16,USD,BOT,GRPN,5.0968,50,Increase position,,
2023-03-20,USD,BOT,GRPN,4.05,25,Increase position,,
2023-03-24,USD,BOT,GRPN,4.64,28,Increase position,,
2023-04-04,USD,SLD,KGC,5.082,-530,Decrease position,,
2023-03-10,USD,BOT,MPW,8.725,45,Increase position,,
2023-03-20,USD,BOT,RICK,78.74,2,Increase position,,
2023-03-24,USD,BOT,RICK,75.53,2,Increase position,,
2023-03-10,USD,BOT,UMH,14.778,13,Increase position,,
2023-03-20,USD,BOT,UMH,14.05,15,Increase position,,
2023-03-24,USD,BOT,UMH,13.96,10,Increase position,,
2023-03-10,USD,BOT,UNIT,4.23,47,Increase position,,
2023-03-20,USD,BOT,UNIT,3.53,30,Increase position,,
2023-03-24,USD,BOT,UNIT,3.26,30,Increase position,,
2023-04-17,EUR,BOT,VNA,19.16,5.2192,Increase position,,
2023-04-24,EUR,BOT,VNA,18.9525,5.2763,Increase position,,
2023-05-02,EUR,BOT,VNA,19.19666667,5.2092,Increase position,,
