Dividends,Header,Currency,Date,Description,Amount
Dividends,Data,USD,2/15/2022,O(US7561091049) Cash Dividend USD 0.2465 per Share (Ordinary Dividend),1.97
Dividends,Data,USD,2/15/2022,STAG(US85254J1025) Cash Dividend USD 0.121667 per Share (Ordinary Dividend),2.07
Dividends,Data,USD,2/25/2022,ACC(US0248351001) Cash Dividend USD 0.47 per Share (Ordinary Dividend),7.99
Dividends,Data,USD,3/1/2022,ENB (CA29250N1050) Cash Dividend USD 0.675993 (Ordinary Dividend),27.72
Dividends,Data,USD,3/3/2022,MAC(US5543821012) Cash Dividend USD 0.15 per Share (Ordinary Dividend),15.75
Dividends,Data,USD,3/15/2022,EPR(US26884U1097) Cash Dividend USD 0.25 per Share (Ordinary Dividend),14.25
Dividends,Data,USD,3/15/2022,O(US7561091049) Cash Dividend USD 0.2465 per Share (Ordinary Dividend),1.97
Dividends,Data,USD,3/15/2022,STAG(US85254J1025) Cash Dividend USD 0.121667 per Share (Ordinary Dividend),2.07
Dividends,Data,USD,3/15/2022,UMH(US9030021037) Cash Dividend USD 0.20 per Share (Ordinary Dividend),9.6
Dividends,Data,USD,3/17/2022,BTG(CA11777Q2099) Cash Dividend USD 0.04 per Share (Ordinary Dividend),35.84
Dividends,Data,USD,3/24/2022,KGC(CA4969024047) Cash Dividend USD 0.03 per Share (Ordinary Dividend),20.13
Dividends,Data,USD,3/29/2022,RICK(US74934Q1085) Cash Dividend USD 0.05 per Share (Ordinary Dividend),1.15
Dividends,Data,USD,3/31/2022,AGI (CA0115321089) Cash Dividend USD 0.025 (Ordinary Dividend),4.05
Dividends,Data,USD,3/31/2022,SPG(US8288061091) Cash Dividend USD 1.65 per Share (Ordinary Dividend),19.8
Dividends,Data,USD,4/7/2022,VICI(US9256521090) Cash Dividend USD 0.36 per Share (Ordinary Dividend),31.68
Dividends,Data,USD,4/14/2022,MPW(US58463J3041) Cash Dividend USD 0.29 per Share (Ordinary Dividend),38.86
Dividends,Data,USD,4/14/2022,SRC(US84860W3007) Cash Dividend USD 0.638 per Share (Ordinary Dividend),6.38
Dividends,Data,USD,4/14/2022,WPC(US92936U1097) Cash Dividend USD 1.057 per Share (Ordinary Dividend),11.63
Dividends,Data,USD,4/15/2022,FPI(US31154R1095) Cash Dividend USD 0.05 per Share (Ordinary Dividend),3
Dividends,Data,USD,4/15/2022,ONL(US68629Y1038) Cash Dividend USD 0.10 per Share (Ordinary Dividend),0.08
Dividends,Data,USD,4/18/2022,BRX(US11120U1051) Cash Dividend USD 0.24 per Share (Ordinary Dividend),10.32
Dividends,Data,USD,4/18/2022,EPR(US26884U1097) Cash Dividend USD 0.275 per Share (Ordinary Dividend),15.68
Dividends,Data,USD,4/18/2022,O(US7561091049) Cash Dividend USD 0.247 per Share (Ordinary Dividend),1.98
Dividends,Data,USD,4/18/2022,STAG(US85254J1025) Cash Dividend USD 0.121667 per Share (Ordinary Dividend),2.07
Dividends,Data,USD,4/18/2022,STOR(US8621211007) Cash Dividend USD 0.385 per Share (Ordinary Dividend),42.74
Dividends,Data,USD,4/18/2022,UNIT(US91325V1089) Cash Dividend USD 0.15 per Share (Ordinary Dividend),12.75
Dividends,Data,USD,5/13/2022,KOF(US1912411089) Cash Dividend USD 1.33846 per Share (Ordinary Dividend),6.7
Dividends,Data,USD,5/13/2022,O(US7561091049) Cash Dividend USD 0.247 per Share (Ordinary Dividend),1.98
Dividends,Data,USD,5/13/2022,WES(US9586691035) Cash Dividend USD 0.50 per Share (Limited Partnership),28
Dividends,Data,USD,5/16/2022,EPR(US26884U1097) Cash Dividend USD 0.275 per Share (Ordinary Dividend),15.68
Dividends,Data,USD,5/16/2022,STAG(US85254J1025) Cash Dividend USD 0.121667 per Share (Ordinary Dividend),2.07
Dividends,Data,USD,6/1/2022,ENB (CA29250N1050) Cash Dividend USD 0.6618732 (Ordinary Dividend),27.14
Dividends,Data,USD,6/1/2022,ENB (CA29250N1050) Cash Dividend USD 0.680002 - Reversal (Ordinary Dividend),-27.14
Dividends,Data,USD,6/1/2022,ENB (CA29250N1050) Cash Dividend USD 0.680002 (Ordinary Dividend),27.88
Dividends,Data,USD,6/3/2022,MAC(US5543821012) Cash Dividend USD 0.15 per Share (Ordinary Dividend),15.75
Dividends,Data,USD,6/15/2022,EPR(US26884U1097) Cash Dividend USD 0.275 per Share (Ordinary Dividend),15.68
Dividends,Data,USD,6/15/2022,O(US7561091049) Cash Dividend USD 0.247 per Share (Ordinary Dividend),1.98
Dividends,Data,USD,6/15/2022,STAG(US85254J1025) Cash Dividend USD 0.121667 per Share (Ordinary Dividend),2.07
Dividends,Data,USD,6/15/2022,UMH(US9030021037) Cash Dividend USD 0.20 per Share (Ordinary Dividend),9.6
Dividends,Data,USD,6/16/2022,KGC(CA4969024047) Cash Dividend USD 0.03 per Share (Ordinary Dividend),23.12
